
"Product" , "Released" , "Support End Date*"
"Minitab 19.x" , "05-June-2019" , "Windows: TBDmacOS: 1-June-2021"
"Minitab 20.x Desktop App" , "21-October-2020" , "TBD"
"Minitab Web App" , "21-October-2020" , "N/A"
"Minitab Connect" , "21-October-2020" , "N/A"
"Real-Time SPC" , "28-July-2021" , "N/A"
"Express 1.5.x" , "18-May-2016" , "1-June-2021"
"Workspace 1.x" , "07-April-2020" , "TBD"
"Companion 5.4.x, 5.5.x" , "5.4: 10-December-20195.5: 07-April-2020" , "5.4: 07-April-20215.5: 24-March-2022"
"Engage Web App" , "24-March-2021" , "N/A"
"Engage 6.x" , "24-March-2021" , "TBD"
"SPM 8.3.x" , "28-November-2018" , "TBD"
"Minitab License Manager" , "Released" , "Support End Date"
"1.8.0" , "28-January-2019" , "7-January-2020"
"1.9.0" , "7-July-2020" , "TBD"
